Supplier_ID,Supplier_Name,Country,Region,Product_Category,Manufacturing_Type,Supply_Volume,Defect_Rate,Lead_Time_Days,Cost_per_Unit,Risk_Score,Sustainability_Score,Quarter,Year
S00001,Texas Instruments,Vietnam,APAC,Apple Watch,Display,16795,4.76,47,392.05,21,88,Q4,2026
S00002,Jabil,Vietnam,APAC,iPad,Battery,7265,0.86,15,235.03,100,89,Q4,2026
S00003,Corning,Malaysia,APAC,MacBook,Logistics,17023,3.29,57,485.26,30,87,Q4,2025
S00004,Wistron,Malaysia,APAC,Apple Watch,Semiconductor,3433,0.99,25,312.57,58,71,Q3,2025
S00005,Broadcom,Japan,APAC,iPad,Camera,7396,2.22,53,267.14,42,77,Q3,2023
S00006,Luxshare,Malaysia,APAC,Accessories,Semiconductor,3747,1.9,51,313.01,55,52,Q3,2024
S00007,Murata,South Korea,APAC,iPad,Assembly,4556,3.08,25,230.74,18,53,Q3,2025
S00008,Murata,USA,North America,iPad,Logistics,9792,4.83,54,198.85,90,51,Q1,2023
S00009,Delta Electronics,USA,North America,AirPods,Assembly,24483,0.7,12,26.85,78,66,Q4,2025
S00010,Wistron,Vietnam,APAC,Accessories,Logistics,27531,0.99,8,162.74,6,91,Q1,2023
S00011,NXP,India,APAC,AirPods,Assembly,41757,0.25,22,389.82,34,59,Q2,2025
S00012,Jabil,Vietnam,APAC,iPad,Assembly,27557,4.64,35,461.72,72,63,Q2,2026
S00013,Jabil,USA,North America,iPad,Battery,26851,0.32,44,423.82,82,96,Q4,2024
S00014,Luxshare,USA,North America,iPad,Assembly,10268,2.98,29,147.66,41,78,Q1,2024
S00015,Luxshare,China,APAC,iPad,Display,49984,4.94,28,203.49,8,73,Q3,2024
S00016,BOE,India,APAC,iPhone,Logistics,49190,4.1,21,358.56,35,82,Q2,2024
S00017,Delta Electronics,China,APAC,iPad,Semiconductor,13666,0.46,43,329.03,28,56,Q3,2024
S00018,Wistron,China,APAC,iPhone,Battery,9392,3.15,38,56.75,23,73,Q1,2026
S00019,Foxconn,Taiwan,APAC,AirPods,Semiconductor,31818,3.0,26,444.73,65,84,Q1,2025
S00020,Corning,Malaysia,APAC,Accessories,Camera,48716,4.86,7,382.78,90,63,Q2,2024
S00021,Foxconn,Japan,APAC,MacBook,Logistics,26446,0.3,19,219.5,42,62,Q2,2024
